दिव्य	adj.	divya	beautiful	
दर्शत	adj.	darzata	beautiful	
शोभन	adj.	zobhana	beautiful	
सुन्दर	adj.	sundara	beautiful	
मनोहर	adj.	manohara	beautiful	
अवदात	adj.	avadAta	beautiful	
सुन्दरी बालिका	f.	sundarI bAlikA	beautiful girl	
सुन्दरं दृश्यसे	sent.	sundaraM dRzyase	you look beautiful	
अतिरमणीय	adj.	atiramaNIya	extremely beautiful	
वपुष	adj.	vapuSa	wonderfully beautiful	
इदम् गृहं सुन्दरम्	sent.	idam gRhaM sundaram	This house is beautiful	
ताः महिलाः सौन्दर्यभरिताः आसन्	sent.	tAH mahilAH saundaryabharitAH Asan	The women were beautiful.	
शुभ	n.	zubha	anything bright or beautiful	
बहु सुन्दरं अस्ति किल एतद् ?	sent.	bahu sundaraM asti kila etad ?	It is very beautiful, isn't it?	
अञ्चलः बहु सम्यक् अस्ति	sent.	aJcalaH bahu samyak asti	The border [of the garment] is very beautiful.	
गृहस्य वामतः एव सर्वाणि पुष्पसस्यानि आरोपयाम | तदेव सुन्दरं भविष्यति	sent.	gRhasya vAmataH eva sarvANi puSpasasyAni AropayAma | tadeva sundaraM bhaviSyati	Let us plant all the flowering plants on the left-side of the house. That only will be beautiful.	
विलोकनीय	adj.	vilokanIya	beautiful	
अभिरूपवत्	adj.	abhirUpavat	beautiful	
रामणीयक	adj.	rAmaNIyaka	beautiful	
कान्त	adj.	kAnta	beautiful	
शोभित	adj.	zobhita	beautiful	
शुभ्रावत्	adj.	zubhrAvat	beautiful	
भासन्त	adj.	bhAsanta	beautiful	
शुभदर्शन	adj.	zubhadarzana	beautiful	
गौर	adj.	gaura	beautiful	
सुवर्णवत्	adj.	suvarNavat	beautiful	
रेवत्	adj.	revat	beautiful	
भद्र	adj.	bhadra	beautiful	
संरक्त	adj.	saMrakta	beautiful	
दिव्यरूपिन्	adj.	divyarUpin	beautiful	
कम्र	adj.	kamra	beautiful	
उज्ज्वल	adj.	ujjvala	beautiful	
वल्गु	adj.	valgu	beautiful	
राम	adj.	rAma	beautiful	
भव्य	adj.	bhavya	beautiful	
सुरूपक	adj.	surUpaka	beautiful	
सरस	adj.	sarasa	beautiful	
रुचिर	adj.	rucira	beautiful	
दर्शनीय	adj.	darzanIya	beautiful	
वरतनु	adj.	varatanu	beautiful	
शोभनीय	adj.	zobhanIya	beautiful	
लक्ष्मीवत्	adj.	lakSmIvat	beautiful	
विहारिन्	adj.	vihArin	beautiful	
सुखालोक	adj.	sukhAloka	beautiful	
अमृत	adj.	amRta	beautiful	
रम्य	adj.	ramya	beautiful	
काम्य	adj.	kAmya	beautiful	
काम्य	adj.	kAmya	beautiful	
शुभ्रि	adj.	zubhri	beautiful	
मनोज्ञ	adj.	manojJa	beautiful	
रुच्य	adj.	rucya	beautiful	
शुभ	adj.	zubha	beautiful	
समुल्लसित	adj.	samullasita	beautiful	
धवल	adj.	dhavala	beautiful	
मञ्जुल	adj.	maJjula	beautiful	
उद्भासित	adj.	udbhAsita	beautiful	
सुन्दर	adj.	sundara	beautiful	
वल्गुक	adj.	valguka	beautiful	
यशस्	adj.	yazas	beautiful	
सुदर्शन	adj.	sudarzana	beautiful	
रूपशालिन्	adj.	rUpazAlin	beautiful	
भव्याकृति	adj.	bhavyAkRti	beautiful	
भामिन्	adj.	bhAmin	beautiful	
रूपवत्	adj.	rUpavat	beautiful	
लुलित	adj.	lulita	beautiful	
तेजस्वत्	adj.	tejasvat	beautiful	
चारु	adj.	cAru	beautiful	
शोभिन्	adj.	zobhin	beautiful	
कमन	adj.	kamana	beautiful	
ललाम	adj.	lalAma	beautiful	
मधुरगात्र	adj.	madhuragAtra	beautiful	
बन्धुर	adj.	bandhura	beautiful	
विशद	adj.	vizada	beautiful	
सरूप	adj.	sarUpa	beautiful	
प्राप्तरूप	adj.	prAptarUpa	beautiful	
पेशल	adj.	pezala	beautiful	
सुपेशस्	adj.	supezas	beautiful	
सुमन	adj.	sumana	beautiful	
शुम्भमान	adj.	zumbhamAna	beautiful	
हारि	adj.	hAri	beautiful	
भाविन्	adj.	bhAvin	beautiful	
अभिराम	adj.	abhirAma	beautiful	
शुभमय	adj.	zubhamaya	beautiful	
चक्षुष्य	adj.	cakSuSya	beautiful	
रुम्र	adj.	rumra	beautiful	
सुरुचिर	adj.	surucira	beautiful	
सुमनोहर	adj.	sumanohara	beautiful	
नडह	adj.	naDaha	beautiful	
श्रील	adj.	zrIla	beautiful	
कूबर	adj.	kUbara	beautiful	
मञ्जु	adj.	maJju	beautiful	
शोभक	adj.	zobhaka	beautiful	
पुद्गल	adj.	pudgala	beautiful	
अभिरूप	adj.	abhirUpa	beautiful	
रूपिन्	adj.	rUpin	beautiful	
राम	adj.	rAma	beautiful	
सुभू	adj.	subhU	beautiful	
भव्यरूप	adj.	bhavyarUpa	beautiful	
दृश्य	adj.	dRzya	beautiful	
मन आप	adj.	mana Apa	beautiful